<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICP,D,20140908,000000,4.8343,4.8343,4.5706,4.5706,68,0
ICP,D,20141015,000000,4.6683,4.6683,4.6683,4.6683,102,0
ICP,D,20141030,000000,4.6585,4.6683,4.6585,4.6683,205,0
ICP,D,20141110,000000,4.6683,4.6683,4.6683,4.6683,10,0
ICP,D,20141112,000000,4.6683,4.6683,4.6683,4.6683,3,0
ICP,D,20141113,000000,4.6683,4.6683,4.6683,4.6683,1,0
ICP,D,20141114,000000,4.6683,4.6683,4.6683,4.6683,3,0
ICP,D,20141117,000000,4.6683,4.6683,4.6683,4.6683,3,0
ICP,D,20141118,000000,4.6683,4.6683,4.6683,4.6683,3,0
ICP,D,20141119,000000,4.6683,4.6683,4.6683,4.6683,3,0
ICP,D,20141120,000000,4.6683,4.6683,4.6683,4.6683,3,0
ICP,D,20141124,000000,4.6683,4.6683,4.6683,4.6683,3,0
ICP,D,20141125,000000,4.6683,4.6683,4.6683,4.6683,3,0
ICP,D,20141127,000000,4.6683,4.6683,4.6683,4.6683,3,0
ICP,D,20141128,000000,4.6585,4.6585,4.6585,4.6585,3,0
ICP,D,20141201,000000,4.6585,4.6585,4.6585,4.6585,3,0
ICP,D,20141202,000000,4.6585,4.6585,4.6585,4.6585,3,0
ICP,D,20141203,000000,4.6585,4.6585,4.6585,4.6585,3,0
ICP,D,20141204,000000,4.6585,4.6585,4.6585,4.6585,3,0
ICP,D,20141205,000000,4.6585,4.6585,4.6585,4.6585,3,0
ICP,D,20141208,000000,4.6585,4.6585,4.6585,4.6585,3,0
ICP,D,20141209,000000,4.6585,4.6585,4.6585,4.6585,3,0
ICP,D,20141210,000000,4.6585,4.6585,4.6585,4.6585,3,0
ICP,D,20141211,000000,4.6585,4.6585,4.6585,4.6585,3,0
ICP,D,20141212,000000,4.6487,4.6487,4.6487,4.6487,10,0
ICP,D,20141215,000000,4.6487,4.6487,4.6487,4.6487,3,0
