<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECA,D,20160629,000000,1.1379,1.1777,1.1379,1.1777,9663,0
ECA,D,20160630,000000,1.1697,1.1697,1.1697,1.1697,49,0
ECA,D,20160701,000000,1.1697,1.1697,1.1697,1.1697,49,0
ECA,D,20160704,000000,1.1617,1.1617,1.1617,1.1617,25,0
ECA,D,20160705,000000,1.1538,1.1538,1.1538,1.1538,25,0
ECA,D,20160706,000000,1.1538,1.1617,1.1538,1.1617,4110,0
ECA,D,20160707,000000,1.1459,1.1459,1.1459,1.1459,38,0
ECA,D,20160708,000000,1.1459,1.1459,1.1379,1.1459,1930,0
ECA,D,20160711,000000,1.1459,1.1459,1.1459,1.1459,25,0
ECA,D,20160712,000000,1.1379,1.1379,1.1379,1.1379,25,0
ECA,D,20160713,000000,1.1299,1.1538,1.0821,1.1538,1350,0
ECA,D,20160714,000000,1.1538,1.1538,1.1538,1.1538,13,0
ECA,D,20160715,000000,1.1459,1.1459,1.0902,1.1379,868,0
ECA,D,20160718,000000,1.1459,1.1459,1.1379,1.1459,422,0
ECA,D,20160719,000000,1.1459,1.1459,1.1459,1.1459,25,0
ECA,D,20160720,000000,1.1459,1.1459,1.0902,1.1459,2325,0
ECA,D,20160721,000000,1.1459,1.1459,1.1459,1.1459,38,0
ECA,D,20160722,000000,1.1459,1.1459,1.0821,1.1459,154,0
ECA,D,20160725,000000,1.1459,1.1538,1.0424,1.1538,8389,0
ECA,D,20160726,000000,1.1379,1.1379,1.1379,1.1379,38,0
ECA,D,20160727,000000,1.1299,1.1299,1.0265,1.114,3306,0
ECA,D,20160728,000000,1.114,1.122,1.0344,1.114,383,0
ECA,D,20160729,000000,1.114,1.114,1.098,1.098,3808,0
ECA,D,20160801,000000,1.098,1.098,1.098,1.098,25,0
ECA,D,20160802,000000,1.098,1.098,0.9867,1.0504,833,0
ECA,D,20160803,000000,1.0504,1.0504,0.8754,0.9151,2376,0
ECA,D,20160804,000000,0.9151,0.9151,0.9072,0.9072,38,0
ECA,D,20160805,000000,0.9072,0.9548,0.7958,0.9072,32273,0
ECA,D,20160808,000000,0.8991,0.9072,0.8118,0.8594,3746,0
ECA,D,20160809,000000,0.8594,1.0265,0.8594,1.0265,3079,0
ECA,D,20160810,000000,1.0185,1.1061,1.0185,1.1061,1459,0
ECA,D,20160811,000000,1.0981,1.1777,1.0424,1.1777,22219,0
ECA,D,20160812,000000,1.1777,1.1777,1.122,1.122,149,0
ECA,D,20160816,000000,1.1618,1.1618,1.1538,1.1538,1426,0
ECA,D,20160817,000000,1.2439,1.2439,1.1129,1.1457,1350,0
ECA,D,20160818,000000,1.1457,1.2274,1.1047,1.2274,10541,0
ECA,D,20160819,000000,1.2111,1.2684,1.1457,1.2029,7411,0
ECA,D,20160822,000000,1.2111,1.2111,1.2111,1.2111,19,0
ECA,D,20160823,000000,1.2029,1.2111,1.1292,1.2029,5395,0
ECA,D,20160824,000000,1.1866,1.1866,1.1866,1.1866,490,0
ECA,D,20160825,000000,1.1866,1.1866,1.1866,1.1866,635,0
ECA,D,20160826,000000,1.1783,1.1783,1.1783,1.1783,24,0
ECA,D,20160829,000000,1.1783,1.2111,1.1783,1.2111,7257,0
ECA,D,20160830,000000,1.2029,1.2029,1.0638,1.0638,1116,0
ECA,D,20160831,000000,1.0638,1.0884,1.0228,1.0228,2441,0
ECA,D,20160901,000000,1.0228,1.0228,0.9411,0.9411,880,0
ECA,D,20160902,000000,0.9411,0.9492,0.8674,0.9001,587,0
ECA,D,20160905,000000,0.9001,0.9656,0.9001,0.9574,2817,0
ECA,D,20160906,000000,0.9574,0.9983,0.9574,0.9983,733,0
ECA,D,20160907,000000,0.9983,1.0311,0.9983,1.0311,232,0
ECA,D,20160908,000000,1.0311,1.0311,1.0311,1.0311,1100,0
ECA,D,20160909,000000,1.0393,1.0802,1.0393,1.0802,141,0
ECA,D,20160912,000000,1.0802,1.1211,1.0802,1.1211,616,0
ECA,D,20160913,000000,1.1211,1.2029,1.1211,1.2029,4534,0
ECA,D,20160914,000000,1.2029,1.2029,1.1375,1.2029,1014,0
ECA,D,20160915,000000,1.1948,1.1948,1.1948,1.1948,24,0
ECA,D,20160916,000000,1.1948,1.2029,1.0966,1.1783,2590,0
ECA,D,20160920,000000,1.1457,1.1457,1.0802,1.1129,2224,0
ECA,D,20160921,000000,1.1129,1.1129,1.1129,1.1129,24,0
ECA,D,20160922,000000,1.1129,1.1375,1.1129,1.1375,391,0
ECA,D,20160923,000000,1.1375,1.1538,1.1375,1.1538,1192,0
ECA,D,20160926,000000,1.1538,1.162,1.1538,1.162,311,0
ECA,D,20160927,000000,1.1538,1.1538,1.1538,1.1538,24,0
ECA,D,20160928,000000,1.1538,1.1866,1.1457,1.1866,8323,0
ECA,D,20160929,000000,1.1866,1.1866,1.0966,1.1783,43797,0
ECA,D,20160930,000000,1.1538,1.1783,1.1538,1.1783,3079,0
ECA,D,20161003,000000,1.1783,1.1783,1.1783,1.1783,24,0
ECA,D,20161004,000000,1.1783,1.1783,1.0474,1.1702,19871,0
ECA,D,20161005,000000,1.162,1.162,1.0884,1.1457,3764,0
ECA,D,20161006,000000,1.1211,1.1211,1.0638,1.1129,16179,0
ECA,D,20161007,000000,1.1047,1.1047,1.1047,1.1047,24,0
ECA,D,20161010,000000,1.1047,1.1047,1.1047,1.1047,37,0
