<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MOV,D,20200721,000000,115,117,106,116,16501,0
MOV,D,20200722,000000,118,119,112.5,117.5,4352,0
MOV,D,20200723,000000,115.5,125,113.5,118,10030,0
MOV,D,20200724,000000,117,120,113,117,8157,0
MOV,D,20200727,000000,114.5,117,113.5,115,7679,0
MOV,D,20200728,000000,113.5,114,109,109.5,12941,0
MOV,D,20200729,000000,109.5,117.5,105.5,115.5,12732,0
MOV,D,20200730,000000,118,120,95,100,27675,0
MOV,D,20200731,000000,100.5,110.5,100.5,109,16379,0
MOV,D,20200803,000000,110.5,119.5,110.5,118.5,11926,0
MOV,D,20200804,000000,122,137,120,136,26887,0
MOV,D,20200805,000000,137,137,114,120,27288,0
MOV,D,20200806,000000,123.5,148,118.5,138,49625,0
MOV,D,20200807,000000,146,146.5,121,136,55101,0
MOV,D,20200810,000000,137.5,137.5,126.5,131,10104,0
MOV,D,20200811,000000,131.5,131.5,125,127,10634,0
MOV,D,20200812,000000,128,128,103,115.5,15654,0
MOV,D,20200813,000000,112.5,124,109,121,6838,0
MOV,D,20200814,000000,122.5,123,117,118,4537,0
MOV,D,20200817,000000,116,126,114,125,9303,0
MOV,D,20200818,000000,127,131,125,126.5,7327,0
MOV,D,20200819,000000,129,136.5,127,134.5,10854,0
MOV,D,20200820,000000,134,150,130,139.5,30896,0
MOV,D,20200821,000000,143,148.5,138,140,12112,0
MOV,D,20200824,000000,143,143,133,135,5538,0
MOV,D,20200825,000000,136,146,133,134,13767,0
MOV,D,20200826,000000,134.5,145,134.5,136.5,26854,0
MOV,D,20200827,000000,138.5,141,136.5,138,4357,0
MOV,D,20200828,000000,137,138,133.5,138,3124,0
MOV,D,20200831,000000,139,139,134,134.5,3419,0
MOV,D,20200901,000000,134,137.5,127,133,6799,0
MOV,D,20200902,000000,133,134.5,122,131,3963,0
MOV,D,20200903,000000,130,131,126,126,3140,0
MOV,D,20200904,000000,121,128,116,122,5310,0
MOV,D,20200907,000000,121.5,127,112,118.5,6983,0
MOV,D,20200908,000000,117,120,100,113,20777,0
MOV,D,20200909,000000,112,118.5,104,115.5,5738,0
MOV,D,20200910,000000,117,121,109.5,117.5,6411,0
MOV,D,20200911,000000,115,117.5,113.5,116,2543,0
MOV,D,20200914,000000,113.5,116.5,112,115.5,3774,0
MOV,D,20200915,000000,113,116.5,107,114,6035,0
MOV,D,20200916,000000,114.5,114.5,110,111.5,1392,0
